90,9,Moving,Background,Adult,{},{},[70007.90441912413;48707.39907512069;673.6111557423137]
92,9,Moving,Waiting Area,Adult,{},{},[76947.6295903176;51437.8077391088;17819.81607508287]
95,9,Moving,Waiting Area,Adult,{},{},[39068.448627471924;48044.966786682606;1790.7928279861808]
95,11,Moving,Waiting Area,Adult,{},{},[-19962.357786640525;41260.91715542972;36427.43763747811]
96,9,Moving,Waiting Area,Adult,{},{},[18167.65892070532;42560.09977430105;-5195.90605154261]
96,11,Moving,Waiting Area,Adult,{},{},[14986.638678502291;52494.51365196705;38409.329687312245]
96,10,Moving,Waiting Area,Adult,{},{},[39489.52472587302;47913.83949521929;1009.2829496163176]
98,9,Moving,Foraging,Adult,{},{},[1959.6186002520844;34878.38919892907;-11355.114981211722]
98,11,Moving,Waiting Area,Adult,{},{},[11142.961410045624;45243.51793241501;2134.610891379416]
99,9,Moving,Foraging,Adult,{},{},[-2493.474155113101;35530.856377363205;-11603.216333687305]
99,11,Moving,Waiting Area,Adult,{},{},[26995.69989669323;45499.71674871445;-268.5960421031341]
100,9,Moving,Foraging,Adult,{},{10},[-3825.2923956899904;35186.71750320494;-12174.913626592606]
100,10,Low sitting/standing (stationary),Waiting Area,Adult,{},{9},[-2729.229961563833;38321.79078564048;-9427.37418018654]
101,9,Moving,Foraging,Adult,{},{10},[-1482.0836636973545;33815.66349552572;-12636.33389948681]
101,11,Moving,Background,Adult,{},{},[69363.96651864797;48626.29091927782;-51.72478192715607]
101,10,Low sitting/standing (stationary),Waiting Area,Adult,{},{9},[-2600.171076245606;38536.603447675705;-9153.55011831224]
102,9,Foraging,Foraging,Adult,{},{},[-301.7326383103791;33440.09547922388;-12686.684098232538]
102,11,Moving,Background,Adult,{},{},[74362.32469987869;48054.22312147915;-927.9431837272132]
103,9,Foraging,Foraging,Adult,{},{},[275.58161817491055;33226.179927527905;-12725.600329786539]
103,11,Moving,Background,Adult,{},{},[74473.57613672316;48000.02217201516;-1341.071635025437]
103,10,Moving,Foraging,Adult,{},{},[-11699.232685029507;38657.052856743336;-8115.109436959028]
104,9,Foraging,Foraging,Adult,{},{},[798.8082975838333;32976.314103126526;-12789.613481149077]
104,11,Moving,Background,Adult,{},{},[73974.74245910347;47695.49875909835;-3187.5048555508256]
104,10,Moving,Door,Adult,{},{},[-15221.60063816607;38045.48653656244;-8357.467676565051]
105,9,Foraging,Foraging,Adult,{},{},[2548.411277577281;32286.95454211533;-12856.061257038265]
105,10,Moving,Door,Adult,{},{},[-16317.340890844353;37703.90275060013;-8886.834179779515]
106,9,Foraging,Foraging,Adult,{},{},[3275.983261572197;32014.142172656953;-12987.60426146537]
106,10,Moving,Door,Adult,{},{},[-16329.009790301323;37695.31299114227;-9237.169393777847]
107,9,Foraging,Foraging,Adult,{},{},[3702.3759991619736;31724.969539817423;-13155.382703362033]
108,9,Foraging,Foraging,Adult,{},{},[3728.3305074870586;31474.083527207375;-13275.887638449669]
108,10,Moving,Foraging,Adult,{},{},[-3255.9271286108997;36417.12311667949;-10998.608153802343]
109,9,Foraging,Foraging,Adult,{},{10},[4195.935501991771;31395.486306564882;-13316.32442080602]
109,10,Moving,Foraging,Adult,{},{9},[-109.5659398054704;34518.280981600285;-11922.276962801814]
110,9,Foraging,Foraging,Adult,{10},{10},[4298.723230378702;31307.92136067152;-13341.34613192454]
110,10,Moving,Foraging,Adult,{9},{9},[4262.852376097813;32300.713489901274;-12678.100917841308]
111,9,Foraging,Foraging,Adult,{10},{10},[5087.476149246097;30697.29279345274;-13474.43603515625]
111,10,Moving,Foraging,Adult,{9},{9},[7338.847693001851;32093.58939231932;-12614.282009594142]
112,9,Foraging,Foraging,Adult,{10},{10},[4857.5087234014645;30900.62795289606;-13392.218708434142]
112,10,Moving,Foraging,Adult,{9},{9},[8143.327975811902;31914.29702801816;-12427.554104978219]
113,9,Foraging,Foraging,Adult,{},{10},[4845.940983111039;30857.879722863436;-13415.921475987881]
113,10,Moving,Foraging,Adult,{},{9},[12463.058684527874;31708.431515097618;-13720.984582781792]
114,9,Foraging,Foraging,Adult,{},{},[4845.940983111039;30857.879722863436;-13415.921475987881]
114,10,Moving,Foraging,Adult,{},{},[14232.922996670008;31459.02308043465;-14256.446013327688]
115,9,Foraging,Foraging,Adult,{},{},[4808.306150240824;30867.914849847555;-13413.74203664437]
115,10,Moving,Foraging,Adult,{},{},[14659.167423605919;31593.28860938549;-14259.289215385914]
116,9,Foraging,Foraging,Adult,{},{},[4772.679196622223;30889.147326529026;-13416.42500705272]
116,10,Foraging,Foraging,Adult,{},{},[14506.172697544098;31387.62705668807;-14378.141098886728]
117,9,Foraging,Foraging,Adult,{},{},[4995.037872841582;30801.159174770117;-13417.633314672858]
117,10,Foraging,Foraging,Adult,{},{},[14293.008610431105;31140.83571395278;-14468.29413915798]
118,9,Foraging,Foraging,Adult,{},{},[5025.681449869648;30911.257216781378;-13338.639416668564]
118,10,Foraging,Foraging,Adult,{},{},[13977.844936538488;30857.733335614204;-14517.81773685664]
118,12,Moving,Background,Adult,{},{},[70080.92746788263;48229.895832791924;-1736.8571488824673]
119,9,Foraging,Foraging,Adult,{},{},[4987.78828202188;30923.326927751303;-13337.269165858626]
119,10,Foraging,Foraging,Adult,{},{},[13020.006132937968;30576.82815760374;-14430.935646075755]
120,9,Foraging,Foraging,Adult,{},{},[4942.99024646543;30913.225335592404;-13368.67686777655]
120,10,Foraging,Foraging,Adult,{},{},[12911.311416748911;30617.26877806522;-14380.7901661098]
120,12,Moving,Waiting Area,Adult,{},{},[37978.77109061554;46725.201859630644;-3313.5031672103796]
121,9,Foraging,Foraging,Adult,{},{10},[4868.778252665885;30937.676325954497;-13366.13418834377]
121,10,Foraging,Foraging,Adult,{},{9},[12735.3971269615;30606.463578119874;-14338.831976473331]
122,9,Foraging,Foraging,Adult,{},{10},[4818.9513439480215;30910.909447297454;-13390.122806811705]
122,10,Foraging,Foraging,Adult,{},{9},[12242.450464725494;30465.849917531013;-14359.32035768032]
122,12,Moving,Waiting Area,Adult,{},{},[17030.442952949554;42835.99879489094;-15735.596458215266]
123,9,Foraging,Foraging,Adult,{},{12},[4772.679196622223;30889.147326529026;-13416.42500705272]
123,12,Moving,Foraging,Adult,{},{9},[12505.86428809166;32182.510152995586;-13402.66989260912]
124,9,Foraging,Foraging,Adult,{},{12},[4727.642973653972;30874.656726509333;-13445.852047383785]
124,12,Moving,Foraging,Adult,{},{9},[10895.47067992948;31428.017218839377;-13449.137627143413]
125,9,Foraging,Foraging,Adult,{},{12},[4691.320658870041;30896.13131389022;-13450.16704402864]
125,12,Foraging,Foraging,Adult,{},{9},[10360.813244983554;31148.394391953945;-13549.581191912293]
126,9,Foraging,Foraging,Adult,{},{12;10},[4653.779360651039;30911.877457093447;-13450.476689676754]
126,10,Foraging,Foraging,Adult,{12},{12;9},[11041.60825320892;30009.10063177906;-14409.210776700638]
126,12,Foraging,Foraging,Adult,{10},{10;9},[10278.165355205536;31150.815996289253;-13535.322966873646]
127,9,Foraging,Foraging,Adult,{},{12;10},[4691.320658870041;30896.13131389022;-13450.16704402864]
127,10,Foraging,Foraging,Adult,{12},{12;9},[11041.60825320892;30009.10063177906;-14409.210776700638]
127,12,Foraging,Foraging,Adult,{10},{10;9},[10278.165355205536;31150.815996289253;-13535.322966873646]
128,9,Foraging,Foraging,Adult,{},{12;10},[4711.934063009918;30976.491581872106;-13400.35805118829]
128,10,Foraging,Foraging,Adult,{12},{12;9},[11041.60825320892;30009.10063177906;-14409.210776700638]
128,12,Foraging,Foraging,Adult,{10},{10;9},[10278.165355205536;31150.815996289253;-13535.322966873646]
129,9,Foraging,Foraging,Adult,{},{12},[4747.492231707089;30954.14020475559;-13397.242502252571]
129,12,Foraging,Foraging,Adult,{},{9},[10072.50135038048;30952.71619797498;-13638.190042734146]
130,9,Foraging,Foraging,Adult,{},{12},[4868.778252665885;30937.676325954497;-13366.13418834377]
130,12,Foraging,Foraging,Adult,{},{9},[9795.149734091014;30778.539812646806;-13736.974277649075]
131,9,Foraging,Foraging,Adult,{},{12},[4987.78828202188;30923.326927751303;-13337.269165858626]
131,12,Foraging,Foraging,Adult,{},{9},[9712.828710462898;30563.705278411508;-13851.614562453702]
132,9,Foraging,Foraging,Adult,{},{12},[5063.654355507344;30902.64736920595;-13340.23847167939]
132,12,Foraging,Foraging,Adult,{},{9},[9957.322669148445;30666.485627412796;-13809.970822140574]
133,9,Foraging,Foraging,Adult,{},{12},[5146.953583323862;30909.23902527243;-13313.858489762992]
133,12,Foraging,Foraging,Adult,{},{9},[9940.275355063379;30621.47586250305;-13832.687890581787]
134,9,Foraging,Foraging,Adult,{},{12},[5241.45171982795;30946.86072525382;-13259.86422328651]
134,12,Foraging,Foraging,Adult,{},{9},[9773.822071155533;30512.846774939448;-13888.256365355104]
135,9,Foraging,Foraging,Adult,{},{12},[5348.202425733209;31037.361956760287;-13184.356566375121]
135,12,Foraging,Foraging,Adult,{},{9},[9676.445604782552;30473.613378554583;-13897.31399475038]
136,9,Foraging,Foraging,Adult,{},{12},[5425.024578779936;31020.470060825348;-13190.522918641567]
136,12,Foraging,Foraging,Adult,{},{9},[9637.514864917845;30476.20383758098;-13890.09571814537]
137,9,Foraging,Foraging,Adult,{},{12},[5436.0955557171255;31059.972599208355;-13164.804076243192]
137,12,Foraging,Foraging,Adult,{},{9},[9491.908837419003;30414.17415805906;-13881.167482661083]
138,9,Foraging,Foraging,Adult,{12},{12},[5511.731904476881;31038.526397697628;-13168.857753552496]
138,12,Foraging,Foraging,Adult,{9},{9},[9296.180394999683;30323.591119669378;-13892.928088705987]
139,9,Foraging,Foraging,Adult,{12},{12},[5511.731904476881;31038.526397697628;-13168.857753552496]
139,12,Foraging,Foraging,Adult,{9},{9},[9157.10373367276;30168.145477045327;-13975.737530342303]
140,9,Foraging,Foraging,Adult,{12},{12},[5549.265565994661;31029.308970261365;-13171.518979539163]
140,12,Foraging,Foraging,Adult,{9},{9},[9214.811260982417;30107.65627429448;-14005.18536865525]
141,9,Foraging,Foraging,Adult,{12},{12;10},[5598.200688518584;31062.17885400355;-13149.538632795215]
141,10,Dig burrow,Foraging,Adult,{12},{12;9},[11361.535780772567;29895.887823283672;-14556.597241804004]
141,12,Foraging,Foraging,Adult,{10;9},{10;9},[9298.659198224545;30117.03792744875;-14024.358196049929]
142,9,Foraging,Foraging,Adult,{12},{12;10},[5636.784858480096;31057.165168732405;-13154.254469260573]
142,10,Dig burrow,Foraging,Adult,{12},{12;9},[11303.563998734578;29856.41619702801;-14572.866561155766]
142,12,Foraging,Foraging,Adult,{10;9},{10;9},[9298.659198224545;30117.03792744875;-14024.358196049929]
143,9,Foraging,Foraging,Adult,{12},{12;10},[5636.784858480096;31057.165168732405;-13154.254469260573]
143,10,Dig burrow,Foraging,Adult,{12},{12;9},[11303.563998734578;29856.41619702801;-14572.866561155766]
143,12,Foraging,Foraging,Adult,{10;9},{10;9},[9378.138519834727;30118.10627666861;-14040.556391645223]
144,9,Foraging,Foraging,Adult,{12},{12;10},[5688.524429997429;31090.015728145838;-13132.14813920483]
144,10,Dig burrow,Foraging,Adult,{12},{12;9},[11282.790363304317;29811.227108865976;-14593.46027875971]
144,12,Foraging,Foraging,Adult,{10;9},{10;9},[9378.138519834727;30118.10627666861;-14040.556391645223]
145,9,Foraging,Foraging,Adult,{},{12;10},[5688.524429997429;31090.015728145838;-13132.14813920483]
145,10,Dig burrow,Foraging,Adult,{12},{12;9},[11262.249551460147;29764.094261080027;-14612.768993094563]
145,12,Foraging,Foraging,Adult,{10},{10;9},[9457.12616630271;30110.976125225425;-14052.38303745538]
146,9,Foraging,Foraging,Adult,{12},{12;10},[5726.672594761476;31084.636757045984;-13136.469137366861]
146,10,Dig burrow,Foraging,Adult,{12},{12;9},[11202.3970459532;29718.716858826578;-14624.685347008519]
146,12,Foraging,Foraging,Adult,{10;9},{10;9},[9457.12616630271;30110.976125225425;-14052.38303745538]
147,9,Foraging,Foraging,Adult,{},{12;10},[5776.645570635796;31121.720799446106;-13116.152852773666]
147,10,Foraging,Foraging,Adult,{12},{12;9},[11184.41088962555;29673.83997488022;-14645.032953232527]
147,12,Foraging,Foraging,Adult,{10},{10;9},[9555.385560248047;30160.04766528681;-14048.699379121885]
148,9,Foraging,Foraging,Adult,{},{12;10},[5776.645570635796;31121.720799446106;-13116.152852773666]
148,10,Foraging,Foraging,Adult,{12},{12;9},[11141.337547484785;29672.01269415766;-14635.84574749507]
148,12,Foraging,Foraging,Adult,{10},{10;9},[9653.81402824074;30205.085428461432;-14042.97455009818]
149,9,Foraging,Foraging,Adult,{},{12;10},[5776.645570635796;31121.720799446106;-13116.152852773666]
149,10,Foraging,Foraging,Adult,{12},{12;9},[11121.25510832481;29625.602111715823;-14655.134893907234]
149,12,Foraging,Foraging,Adult,{10},{10;9},[9731.33643960394;30196.56440519169;-14053.860342022032]
150,9,Foraging,Foraging,Adult,{},{12;10},[5816.733666645363;31122.657429471612;-13123.18826488033]
150,10,Foraging,Foraging,Adult,{12},{12;9},[11102.337800055742;29579.270368754864;-14674.51927831769]
150,12,Foraging,Foraging,Adult,{10},{10;9},[9789.060460601002;30237.87774927169;-14039.759251203388]
151,9,Foraging,Foraging,Adult,{},{10},[5868.246454112232;31162.740352481604;-13104.046426206827]
151,10,Foraging,Foraging,Adult,{},{9},[11082.669467136264;29533.54063179344;-14694.02908807993]
151,13,Moving,Background,Adult,{},{},[71390.27980834246;47717.83547562361;-4724.443228237331]
152,9,Foraging,Foraging,Adult,{},{10},[5868.246454112232;31162.740352481604;-13104.046426206827]
152,10,Foraging,Foraging,Adult,{},{9},[10959.94266670011;29533.01020207815;-14669.245251394808]
152,13,Moving,Background,Adult,{},{},[70563.76772384346;47786.87457066402;-4157.814924794249]
153,9,Foraging,Foraging,Adult,{},{10},[5868.246454112232;31162.740352481604;-13104.046426206827]
153,10,Foraging,Foraging,Adult,{},{9},[10832.440013993531;29518.18279800564;-14637.49072386697]
153,13,Foraging,Background,Adult,{},{},[69119.38480231166;47912.60127681494;-3595.2824195185676]
154,9,Foraging,Foraging,Adult,{},{10},[5868.246454112232;31162.740352481604;-13104.046426206827]
154,10,Foraging,Foraging,Adult,{},{9},[10753.005330651999;29519.65330466628;-14619.69434723258]
155,9,Foraging,Foraging,Adult,{},{},[5868.246454112232;31162.740352481604;-13104.046426206827]
156,9,Foraging,Foraging,Adult,{},{},[5868.246454112232;31162.740352481604;-13104.046426206827]
157,9,Foraging,Foraging,Adult,{},{12;10},[5868.246454112232;31162.740352481604;-13104.046426206827]
157,10,Foraging,Foraging,Adult,{12},{12;9},[10753.005330651999;29519.65330466628;-14619.69434723258]
157,12,Foraging,Foraging,Adult,{10},{10;9},[10069.609401317313;30030.228428915143;-14223.961652725935]
158,9,Foraging,Foraging,Adult,{},{12;10},[5868.246454112232;31162.740352481604;-13104.046426206827]
158,10,Foraging,Foraging,Adult,{12},{12;9},[10993.61892252788;29705.300885744393;-14575.842746041715]
158,12,Foraging,Foraging,Adult,{10},{10;9},[9585.473353814334;30030.962590433657;-14129.93556996435]
159,9,Foraging,Foraging,Adult,{},{12;10},[5868.246454112232;31162.740352481604;-13104.046426206827]
159,10,Foraging,Foraging,Adult,{12},{12;9},[11450.034028857946;29630.959446012974;-14726.036153420806]
159,12,Foraging,Foraging,Adult,{10},{10;9},[9698.157925263047;30108.866865828633;-14097.320183828473]
159,13,Moving,Background,Adult,{},{},[63472.57398565486;47810.33029369265;-3725.766655707499]
160,9,Foraging,Foraging,Adult,{},{12;10},[5868.246454112232;31162.740352481604;-13104.046426206827]
160,10,Foraging,Foraging,Adult,{12},{12;9},[11692.83313536644;29805.4244325459;-14675.725285038352]
160,12,Foraging,Foraging,Adult,{10},{10;9},[9827.664231639355;30234.07383975014;-14044.585028717294]
161,9,Foraging,Foraging,Adult,{},{12;10},[5868.246454112232;31162.740352481604;-13104.046426206827]
161,10,Foraging,Foraging,Adult,{12},{12;9},[11835.132751259953;29939.235734939575;-14630.642095770687]
161,12,Foraging,Foraging,Adult,{10},{10;9},[9862.642644822598;30321.53632120788;-14000.547646284103]
161,13,Moving,Waiting Area,Adult,{},{},[46282.28874331713;48475.767299346626;-1735.512430405477]
162,9,Foraging,Foraging,Adult,{},{12;10},[5868.246454112232;31162.740352481604;-13104.046426206827]
162,10,Foraging,Foraging,Adult,{12},{12;9},[11774.417622819543;29894.92372265458;-14642.009448803961]
162,12,Foraging,Foraging,Adult,{10},{10;9},[9862.642644822598;30321.53632120788;-14000.547646284103]
162,13,Moving,Waiting Area,Adult,{},{},[26282.847432650626;42318.17827549577;-7428.219176709652]
