Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
11,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
11,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17437.797590970993;38186.48891091347;-12226.643068373203]
12,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
12,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
12,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17457.867339372635;38234.1856309101;-12192.06897848472]
13,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
13,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
13,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17457.867339372635;38234.1856309101;-12192.06897848472]
14,0,Sunbathe,Sand Area,Adult,{},{},[42792.655156075954;52075.7687830925;16270.782255649567]
14,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
14,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17457.867339372635;38234.1856309101;-12192.06897848472]
15,0,Sunbathe,Sand Area,Adult,{},{},[42792.655156075954;52075.7687830925;16270.782255649567]
15,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
15,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17514.169355146587;38237.04743939638;-12197.846922755241]
16,0,Sunbathe,Sand Area,Adult,{},{},[42792.655156075954;52075.7687830925;16270.782255649567]
16,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
16,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17591.84614829719;38288.76080015302;-12167.982918940485]
17,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
17,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
17,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17591.84614829719;38288.76080015302;-12167.982918940485]
18,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
18,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
18,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17591.84614829719;38288.76080015302;-12167.982918940485]
19,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
19,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
19,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17677.494086019695;38480.14453591406;-12177.929931938648]
20,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
20,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
20,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17677.494086019695;38480.14453591406;-12177.929931938648]
21,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
21,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
21,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17677.494086019695;38480.14453591406;-12177.929931938648]
22,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
22,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
22,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17677.494086019695;38480.14453591406;-12177.929931938648]
23,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
23,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
23,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-18042.163164913654;39153.87013298273;-12343.101053893566]
24,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
24,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
24,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17991.660835042596;38925.035040810704;-12276.112295731902]
25,8,Moving,Sand Area,Adult,{},{},[-10003.650897920132;72484.69766145945;51989.579628795385]
25,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
25,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6678.961767408997;25173.669683478773;-12505.736795606092]
25,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17991.660835042596;38925.035040810704;-12276.112295731902]
26,8,Moving,Sand Area,Adult,{},{},[27008.734566297382;65640.03875732422;49982.256968684494]
26,9,Moving,Sand Area,Adult,{},{},[6294.584939114749;70453.03493201733;47153.26393097639]
26,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
26,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6678.961767408997;25173.669683478773;-12505.736795606092]
26,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-18986.311501674354;41082.322461627424;-12901.496842302382]
27,5,Moving,Right Sticks Area,Adult,{},{},[31077.352512892336;52949.64270468801;2379.332126656547]
27,8,Moving,Sand Area,Adult,{},{},[32976.569739341736;56983.09926891327;37402.81913471222]
27,9,Moving,Sand Area,Adult,{},{},[28934.5576603394;62591.301264774054;32505.89030502923]
27,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
27,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6678.961767408997;25173.669683478773;-12505.736795606092]
27,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-18986.311501674354;41082.322461627424;-12901.496842302382]
28,8,Moving,Sand Area,Adult,{},{},[32669.425166305155;56908.22314942628;35640.17559735477]
28,9,Moving,Sand Area,Adult,{},{},[33198.58039546013;52752.9013736248;26367.94628572464]
28,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
28,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6678.961767408997;25173.669683478773;-12505.736795606092]
28,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-18986.311501674354;41082.322461627424;-12901.496842302382]
29,8,Moving,Sand Area,Adult,{},{},[36184.98895943165;55307.32165278494;43065.96184284985]
29,9,Moving,Sand Area,Adult,{},{0},[39949.961149960756;52539.20115301013;23522.629983320832]
29,0,Sunbathe,Sand Area,Adult,{},{9},[42876.25556790829;52062.656470924616;16278.990091904998]
29,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6678.961767408997;25173.669683478773;-12505.736795606092]
29,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-18986.311501674354;41082.322461627424;-12901.496842302382]
30,9,Moving,Sand Area,Adult,{},{0},[39422.03533217311;52401.31764212251;20841.115621745586]
30,0,Sunbathe,Sand Area,Adult,{},{9},[42876.25556790829;52062.656470924616;16278.990091904998]
30,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6678.961767408997;25173.669683478773;-12505.736795606092]
30,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-22038.43164419569;47694.41699960828;-14909.541996839456]
31,9,Moving,Sand Area,Adult,{},{},[45892.46772271395;52028.08492299914;41417.281263023615]
31,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
31,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6678.961767408997;25173.669683478773;-12505.736795606092]
31,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-20150.30052906461;43473.850777834654;-13597.557809269987]
32,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
32,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
33,10,Moving,Left Sticks Area,Adult,{},{},[-43430.455154418945;51608.244383096695;-4229.462593920529]
33,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
33,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
34,10,Moving,Around Mound,Adult,{},{},[-42521.08405470848;57231.07372391224;-2136.16484323889]
34,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
34,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
35,10,Moving,Around Mound,Adult,{},{},[-43652.312144458294;69993.85689854622;2047.1979061253369]
35,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
35,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
36,10,Moving,Around Mound,Adult,{},{},[-42065.0735000968;70555.8745328188;4483.244118511677]
36,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
36,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
37,10,Moving,Around Mound,Adult,{},{},[-44304.20306351036;69952.79388180375;4139.420349315507]
37,0,Sunbathe,Sand Area,Adult,{},{},[42876.25556790829;52062.656470924616;16278.990091904998]
37,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
38,5,Moving,Right Sticks Area,Adult,{},{},[33907.81500975788;52956.92508216202;3877.150435245596]
38,10,Low sitting/standing (stationary),Around Mound,Adult,{},{},[-45249.14073598385;69020.588909626;4066.093223929405]
38,11,Low sitting/standing (stationary),Sand Area,Adult,{},{},[0.0;0.0;0.0]
38,0,Sunbathe,Sand Area,Adult,{},{},[42961.54582706094;52054.82598860562;16287.43144441396]
38,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
39,5,Moving,Right Sticks Area,Adult,{},{},[35452.11480021477;52851.25439453125;5894.634395688772]
39,10,Low sitting/standing (stationary),Around Mound,Adult,{},{},[-45249.14073598385;69020.588909626;4066.093223929405]
39,11,Low sitting/standing (stationary),Sand Area,Adult,{},{},[0.0;0.0;0.0]
39,0,Sunbathe,Sand Area,Adult,{},{},[42961.54582706094;52054.82598860562;16287.43144441396]
39,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
40,5,Moving,Right Sticks Area,Adult,{},{},[36461.3074327372;52744.66702853143;5877.260327478405]
40,10,Low sitting/standing (stationary),Around Mound,Adult,{},{},[-45127.777556709945;69176.5224839896;4078.98344124062]
40,11,Moving,Sand Area,Adult,{},{},[54812.049730449915;51099.1554209888;34501.59036818147]
40,12,Moving,Sand Area,Adult,{},{},[67529.89405108243;51398.20757724717;29025.4825641606]
40,13,Moving,Right Sand Area,Adult,{},{},[60191.367916435;49092.374000146985;12022.320181217045]
40,0,Sunbathe,Sand Area,Adult,{},{},[42961.54582706094;52054.82598860562;16287.43144441396]
40,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
41,5,Moving,Right Sticks Area,Adult,{},{},[34925.04277932644;52920.93568402529;5103.984725251794]
41,10,Low sitting/standing (stationary),Around Mound,Adult,{},{},[-45127.777556709945;69176.5224839896;4078.98344124062]
41,11,Low sitting/standing (stationary),Sand Area,Adult,{},{12},[55507.11627031118;50708.67344105989;21807.08119378239]
41,12,Moving,Sand Area,Adult,{},{11},[48807.797632806;51930.679381061345;24789.91512575932]
41,13,Moving,Right Sticks Area,Adult,{},{},[48437.653969824314;50206.188067328185;5099.446748729795]
41,0,Sunbathe,Sand Area,Adult,{},{},[43051.43091553822;52049.412093218416;16297.405247165821]
41,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
42,10,Low sitting/standing (stationary),Around Mound,Adult,{},{},[-45138.50042166561;69183.38710488379;4170.721941847354]
42,11,Low sitting/standing (stationary),Sand Area,Adult,{},{},[55733.15065525472;50789.89579836279;23068.33428581804]
42,12,Moving,Sand Area,Adult,{},{0},[35590.533484663814;52280.02247142792;16597.334180835634]
42,13,Moving,Right Sand Area,Adult,{},{},[51655.96488916874;50473.56583750248;12839.499800354242]
42,0,Sunbathe,Sand Area,Adult,{},{12},[43051.43091553822;52049.412093218416;16297.405247165821]
42,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
43,10,Low sitting/standing (stationary),Around Mound,Adult,{},{},[-45149.91645413637;69189.60717141628;4262.439310193062]
43,11,Playfight,Sand Area,Adult,{},{13},[55751.80243013799;50621.65568130463;21017.266613960266]
43,12,Moving,Sand Area,Adult,{},{},[31571.430359989405;53109.95506875962;24152.488418340683]
43,13,Playfight,Sand Area,Adult,{},{11},[54004.56691235304;50334.83463951945;16957.182830400765]
43,0,Sunbathe,Sand Area,Adult,{},{},[43051.43091553822;52049.412093218416;16297.405247165821]
43,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
44,5,Moving,Right Sticks Area,Adult,{},{},[34468.7668774724;52862.92261385918;6530.656447462738]
44,10,Moving,Sand Area,Adult,{},{},[-43914.59017911181;70565.46740896255;8630.39933469519]
44,11,Playfight,Sand Area,Adult,{},{},[51746.657346092165;50728.31146842986;16302.5205970807]
44,12,Moving,Sand Area,Adult,{},{},[32257.356641091406;52770.856698319316;33564.49086163938]
44,0,Sunbathe,Sand Area,Adult,{},{},[43051.43091553822;52049.412093218416;16297.405247165821]
44,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
45,5,Moving,Sand Area,Adult,{},{0},[37498.39626290649;52570.73756366223;11012.109150869772]
45,10,Moving,Sand Area,Adult,{},{},[-43374.59471154213;70673.36980104446;9294.916090607643]
45,11,Moving,Sand Area,Adult,{},{0},[50108.98613548279;51017.97881835699;16548.849119484425]
45,12,Moving,Sand Area,Adult,{},{},[34768.69167617336;58382.491939246655;46325.242449216545]
45,0,Sunbathe,Sand Area,Adult,{},{5;11},[43051.43091553822;52049.412093218416;16297.405247165821]
45,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
46,5,Moving,Sand Area,Adult,{0},{0;13},[40217.006897866726;52185.93433494866;15776.580492399633]
46,10,Moving,Sand Area,Adult,{},{},[-40978.97009637952;70910.23716586828;10245.434963740408]
46,11,Moving,Sand Area,Adult,{},{0;13},[48595.95732873678;51565.89685669541;19641.59591257572]
46,13,Moving,Sand Area,Adult,{0},{0;5;11},[45166.55746510625;51686.474502533674;12965.820302080363]
46,0,Sunbathe,Sand Area,Adult,{5;13},{5;11;13},[43051.43091553822;52049.412093218416;16297.405247165821]
46,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
47,5,Moving,Sand Area,Adult,{},{0;13},[38028.419682741165;52542.26522433758;12199.562086336315]
47,10,Moving,Sand Area,Adult,{},{},[-28732.607172586024;71574.15180733055;13705.095737737603]
47,11,Moving,Sand Area,Adult,{},{},[54265.709770321846;51020.9299428463;26264.221389770508]
47,13,Moving,Sand Area,Adult,{},{0;5},[38747.026626586914;52262.84230804443;16734.2682056427]
47,0,Sunbathe,Sand Area,Adult,{},{5;13},[43956.47832338512;52000.32142864913;16468.209034189582]
47,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
48,5,Dig burrow,Sand Area,Adult,{},{},[30401.697959899902;53230.40396308899;10395.445692300797]
48,10,Moving,Sand Area,Adult,{},{},[-13118.968952551484;71552.58215290308;23009.903710335493]
48,11,Moving,Sand Area,Adult,{},{},[64828.63628447056;51664.13682937622;35598.777223706245]
48,13,Moving,Sand Area,Adult,{},{},[42494.81149093807;52582.24035766721;25611.42237677425]
48,0,Sunbathe,Sand Area,Adult,{},{},[43258.67599243298;52047.96458001435;16621.38492524624]
48,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
49,5,Dig burrow,Sand Area,Adult,{},{},[30328.936181783676;53242.301191568375;10183.976898133755]
49,10,Moving,Sand Area,Adult,{},{},[1075.3547735506436;71415.25961217284;32255.066035710275]
49,11,Moving,Sand Area,Adult,{},{},[74727.72843616456;52600.16573921591;43655.78118399531]
49,13,Moving,Sand Area,Adult,{},{},[56422.32572115958;51725.54813091457;41104.32008108497]
49,0,Sunbathe,Sand Area,Adult,{},{},[43164.31216968596;52054.67234390974;16536.175000712276]
49,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
50,5,Dig burrow,Sand Area,Adult,{},{},[30249.13149368763;53245.19352865219;9969.989741712809]
50,10,Moving,Sand Area,Adult,{},{},[19768.867670297623;68009.37669563293;33290.4577948153]
50,14,Moving,Sand Area,Adult,{},{},[5178.904250472784;70804.95631170273;40136.34264731407]
50,0,Sunbathe,Sand Area,Adult,{},{},[43164.31216968596;52054.67234390974;16536.175000712276]
50,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
51,5,Dig burrow,Sand Area,Adult,{},{},[30236.720667660236;53227.645836129785;9758.666961748153]
51,6,Moving,Right Sticks Area,Adult,{},{},[18861.794326281175;51871.42379848659;2434.2751088812947]
51,10,Moving,Sand Area,Adult,{},{},[32399.086154818535;57857.50662827492;33252.95855998993]
51,14,Moving,Sand Area,Adult,{},{},[7274.758615104482;70333.8575283289;34729.08039687574]
51,0,Sunbathe,Sand Area,Adult,{},{},[43070.00102559477;52059.25133857876;16450.87933170423]
51,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
52,5,Dig burrow,Sand Area,Adult,{},{},[30249.13149368763;53245.19352865219;9969.989741712809]
52,6,Moving,Sand Area,Adult,{},{},[22866.786677621305;60100.2106510289;6585.402622434776]
52,10,Moving,Sand Area,Adult,{},{},[41974.6321195513;53006.590416796505;42802.65090229362]
52,14,Moving,Sand Area,Adult,{},{},[13147.379546944052;69390.7385917306;28260.9683239609]
52,0,Sunbathe,Sand Area,Adult,{},{},[42978.97118073702;52063.00582447648;16440.85020833835]
52,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
53,5,Playfight,Sand Area,Adult,{},{},[31492.245188884437;52944.92705830932;10297.504970194772]
53,6,Playfight,Sand Area,Adult,{},{},[24022.88045066595;57944.224548876286;7900.618930969387]
53,10,Moving,Sand Area,Adult,{},{},[39588.392517089844;53502.24975261092;39416.88162174821]
53,14,Moving,Sand Area,Adult,{},{},[16061.080967500806;68787.07714164257;23980.54180689156]
53,0,Sunbathe,Sand Area,Adult,{},{},[43170.2081694901;52055.05978359282;16611.613454133272]
53,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6725.835344463587;25221.523673906922;-12531.81673938036]
54,5,Playfight,Sand Area,Adult,{},{},[34969.964597433805;52519.318806648254;11919.800740223378]
54,6,Playfight,Sand Area,Adult,{},{},[27139.5072337389;54820.78696869314;10331.373266775161]
54,10,Moving,Sand Area,Adult,{},{},[41609.56492912024;53286.26181655377;36328.11104238778]
54,14,Moving,Sand Area,Adult,{},{},[18483.214595446363;68210.62605175376;20561.297172024846]
54,15,Moving,Sand Area,Adult,{},{},[0.0;0.0;0.0]
54,0,Sunbathe,Sand Area,Adult,{},{},[43004.09623166919;52059.10188558698;16819.04432232678]
54,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6768.008745238185;25257.41584149003;-12553.178154081106]
55,5,Playfight,Sand Area,Adult,{},{0;6},[36321.13967354596;52460.155679792166;13604.241314530373]
55,6,Playfight,Sand Area,Adult,{},{5},[30940.993680626154;53040.674847498536;11735.016753289849]
55,10,Moving,Sand Area,Adult,{},{15},[42079.68723567575;52698.605777237564;27624.700753297657]
55,14,Moving,Sand Area,Adult,{},{},[25337.030342429876;59066.14124047756;12149.278045773506]
55,15,Moving,Sand Area,Adult,{},{10},[49179.276446551085;51539.67351925373;30090.231637313962]
55,0,Sunbathe,Sand Area,Adult,{},{5},[43002.040851682425;52063.26482735574;16742.407906852663]
55,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6768.008745238185;25257.41584149003;-12553.178154081106]
56,6,Playfight,Sand Area,Adult,{},{14},[35297.80412529409;52399.85392771661;14064.043867032975]
56,14,Moving,Sand Area,Adult,{},{6},[32945.10139564425;52590.45501385629;10078.233681006357]
56,15,Moving,Sand Area,Adult,{},{},[41849.16139164567;52409.50005722046;22586.393164247274]
56,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6768.008745238185;25257.41584149003;-12553.178154081106]
57,10,Low sitting/standing (stationary),Sand Area,Adult,{},{15;14},[40321.24649462104;52358.32420131564;20262.160450205207]
57,14,Playfight,Sand Area,Adult,{},{10;15},[35303.46793627739;52370.60467992723;14705.780407045037]
57,15,Playfight,Sand Area,Adult,{},{10;14},[36198.64286567643;52408.972911179066;21701.524235071614]
57,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6768.008745238185;25257.41584149003;-12553.178154081106]
58,5,Playfight,Sand Area,Adult,{},{10},[45356.5946607776;51906.669745292515;17220.356114918366]
58,10,Low sitting/standing (stationary),Sand Area,Adult,{},{5;15},[40825.33465153724;52233.963155537844;18774.249187394977]
58,15,Playfight,Sand Area,Adult,{},{10},[35697.920811504126;52443.18975767493;22562.43594405055]
58,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6768.008745238185;25257.41584149003;-12553.178154081106]
59,5,Playfight,Sand Area,Adult,{},{10},[45561.20668742061;51837.6362388134;16928.890670761466]
59,10,Low sitting/standing (stationary),Sand Area,Adult,{},{5;15},[40372.16834449768;52229.27534532547;17587.526582479477]
59,15,Playfight,Sand Area,Adult,{},{10},[36588.507677197456;52422.985062122345;21150.460723161697]
59,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6768.008745238185;25257.41584149003;-12553.178154081106]
60,5,Playfight,Sand Area,Adult,{},{},[57630.574176728725;50641.97182935476;24436.95846182108]
60,6,Playfight,Sand Area,Adult,{},{10},[45908.98536142707;51919.664077326655;17981.328853409737]
